1205,9214,chevrolet,91503,6115,2015
1258,6508,subaru,85613,11947,2017
2481,8689,plymouth,44734,8141,2015
1647,2520,mercedes-benz,51343,41869,2014
496,4904,mitsubishi,63187,8569,2016
1210,2301,dodge,72717,6511,2017
1373,6082,volvo,67771,18499,2011
1017,8433,dodge,6779,6365,2012
698,5010,honda,58110,5856,2011
614,923,toyota,50230,4124,2015
22,1272,alfa-romero,45599,16272,2015
2825,7806,volkswagen,36663,11626,2013
2731,8564,honda,39479,7754,2011
1136,7858,peugot,10883,12654,2015
330,1344,plymouth,5285,6377,2015
1113,8813,volkswagen,71958,7555,2012
2122,1508,volkswagen,20522,9907,2014
1151,6072,honda,74374,5263,2014
2360,2852,toyota,79590,15398,2013
1039,9793,alfa-romero,2709,17263,2013
1727,9656,peugot,31789,13401,2017
2480,5865,mitsubishi,33874,9940,2014
2427,2220,audi,24902,13687,2011
508,1438,honda,67178,7324,2011
1353,9891,mitsubishi,21344,9121,2014
803,5441,peugot,15635,18009,2013
1025,4240,peugot,94288,17737,2017
777,8618,volkswagen,24681,8370,2015
34,7314,subaru,29869,3954,2012
2270,6443,nissan,20850,17693,2011
2283,5890,toyota,77809,16532,2015
1934,5715,jaguar,36533,35907,2014
1144,4769,mazda,8010,10652,2017
1981,2352,mercedes-benz,51434,28522,2015
254,1750,subaru,85045,11321,2017
2923,7661,peugot,72166,16565,2013
572,7871,mazda,41667,5221,2017
1364,4971,mercedes-benz,48800,27447,2015
2873,4951,mazda,5332,11351,2016
677,8108,subaru,34620,7776,2016
795,5724,toyota,12379,17816,2012
1763,386,toyota,66390,8041,2016
1751,9515,mazda,69309,7727,2015
322,4781,toyota,38164,10065,2016
1805,8777,nissan,38613,7821,2015
2870,2920,peugot,1869,17978,2015
2026,2216,plymouth,5822,6803,2016
1340,3815,volkswagen,26044,9829,2017
1547,2981,nissan,19362,6296,2011
2808,3792,peugot,54247,17193,2015
1290,1721,toyota,12542,8028,2017
559,1451,mazda,58412,12858,2011
207,1197,toyota,31322,8327,2013
2175,4971,mercedes-benz,48800,27447,2015
657,1777,mercedes-benz,93685,28983,2012
2355,9466,volvo,4603,22406,2016
957,9780,mazda,74146,6819,2013
1215,3506,subaru,98358,10342,2012
1728,427,nissan,7465,16721,2011
2487,2144,nissan,32983,7308,2015
1523,4001,subaru,97772,9438,2011
2322,6810,mazda,53486,10146,2017
564,913,mitsubishi,1181,7315,2012
1066,3736,volvo,30992,16293,2015
271,8058,peugot,16703,16979,2015
2199,2790,isuzu,58890,4322,2015
1456,7095,renault,84226,8932,2014
629,2761,mitsubishi,47978,6058,2012
2900,6149,plymouth,7985,5957,2017
348,2208,mazda,34074,15446,2014
1136,33,dodge,33421,8657,2017
879,6355,volvo,27380,16904,2012
335,4845,peugot,73923,16765,2011
900,6654,plymouth,13692,8135,2016
1561,2180,toyota,82532,10408,2016
933,3275,isuzu,47100,10660,2014
2063,6420,dodge,35277,6331,2016
731,1273,chevrolet,52517,6121,2017
2615,9292,volkswagen,36646,13301,2013
2220,8664,nissan,20262,7540,2014
578,1603,plymouth,86649,9269,2016
1168,8638,volvo,36528,15222,2014
1020,4098,volvo,85484,16145,2015
2397,3228,bmw,47629,41733,2014
870,6203,plymouth,25128,5804,2017
1596,1444,nissan,20452,17123,2017
371,3247,subaru,39579,7699,2014
1130,922,honda,99673,7238,2011
974,6026,audi,75672,18644,2011
660,6711,mitsubishi,3985,8368,2017
